Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Change,Daily_change_percent
2023-10-26,19027.25,19041.7,18837.85,18857.25,300356469.0,28939.64,-170.0,-0.8934554389099844
2023-10-27,18928.75,19076.15,18926.65,19047.25,205201044.0,19947.48,118.5,0.6260318298883973
2023-10-30,19053.4,19158.5,18940.0,19140.9,180132492.0,17095.73,87.5,0.45923562198872636
2023-10-31,19232.95,19233.7,19056.45,19079.6,206049341.0,19397.36,-153.35,-0.7973295828253075
2023-11-01,19064.05,19096.05,18973.7,18989.15,194103279.0,18452.51,-74.9,-0.3928860866395126
2023-11-02,19120.0,19175.25,19064.15,19133.25,245595109.0,19771.49,13.25,0.06929916317991633
2023-11-03,19241.0,19276.25,19210.9,19230.6,189516123.0,17304.87,-10.4,-0.05405124473779949
2023-11-06,19345.85,19423.0,19309.7,19411.75,180690631.0,16296.56,65.9,0.34064153293858895
2023-11-07,19404.05,19423.5,19329.1,19406.7,198660124.0,18288.06,2.65,0.013656942751642056
2023-11-08,19449.6,19464.4,19401.5,19443.5,194967997.0,17060.45,-6.1,-0.031363112866074364
2023-11-09,19457.4,19463.9,19378.35,19395.3,208418472.0,19087.29,-62.1,-0.31915877763729994
2023-11-10,19351.85,19451.3,19329.45,19425.35,152215785.0,12916.21,73.5,0.3798086487855166
2023-11-12,19547.25,19547.25,19510.25,19525.55,37311902.0,2482.27,-21.7,-0.1110130581028022
2023-11-13,19486.75,19494.4,19414.75,19443.55,189275733.0,13527.22,-43.2,-0.2216890964373228
2023-11-15,19651.4,19693.2,19579.65,19675.45,291464988.0,24957.24,24.05,0.12238313809703125
2023-11-16,19674.7,19875.25,19627.0,19765.2,282686669.0,26041.45,90.5,0.45998160073597055
2023-11-17,19674.75,19806.0,19667.45,19731.8,236827462.0,21681.28,57.05,0.28996556500082593
2023-11-20,19731.15,19756.45,19670.5,19694.0,173780543.0,16737.05,-37.15,-0.18828096689751989
2023-11-21,19770.9,19829.1,19754.05,19783.4,194969012.0,17947.2,12.5,0.06322423359584034
2023-11-22,19784.0,19825.55,19703.85,19811.85,184497984.0,17405.48,27.85,0.14077031945006066
2023-11-23,19828.45,19875.15,19786.75,19802.0,170024085.0,15906.94,-26.45,-0.13339418865317257
2023-11-24,19809.6,19832.85,19768.85,19794.7,145895044.0,14389.29,-14.9,-0.07521605686131977
2023-11-28,19844.65,19916.85,19800.0,19889.7,229595031.0,23043.25,45.05,0.22701332600978094
2023-11-29,19976.55,20104.65,19956.3,20096.6,236241768.0,22367.64,120.05,0.6009546192911188
